title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
Water Conservation Tips for Balcony Gardening,water-conservation-tips-for-balcony-gardening,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Water Conservation Tips for Balcony Gardening,1,1,"gardening, conservation, friendly, practices, effective, eco","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Water Globes for Plants: Helpful or Hype?,water-globes-for-plants-helpful-or-hype,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Water Globes for Plants: Helpful or Hype?,1,1,"customer, researching, devices, globe, helpful, hype","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Weather-Responsive Automatic Watering: Does It Really Work?,weather-responsive-automatic-watering-does-it-really-work,L2 money page,guide,solution-aware,high,9.5,P4,Buyer guide: kits / systems,Weather-Responsive Automatic Watering: Does It Really Work?,1,1,"weather, work, sensors, responsive, automatic, rain","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
What Causes Ponding Water on Balconies?,what-causes-ponding-water-on-balconies,L2 money page,guide,solution-aware,high,9.5,P4,Drip setup and expansion,What Causes Ponding Water on Balconies?,1,1,"causes, learning, drainage, ponding, issues, about","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What Size Drip Tubing Do I Need for My Balcony?,what-size-drip-tubing-do-i-need-for-my-balcony,L2 money page,technical-guide,solution-aware,high,9.5,P4,Drip setup and expansion,What Size Drip Tubing Do I Need for My Balcony?,1,1,"tubing, size, choosing, drip, correct, specifications","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
What Size Water Reservoir Do You Need for Automatic Watering?,what-size-water-reservoir-do-you-need-for-automatic-watering,L2 money page,technical-guide,solution-aware,high,9.5,P4,Drip setup and expansion,What Size Water Reservoir Do You Need for Automatic Watering?,1,1,"reservoir, size, automatic, requirements, calculate","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
WiFi Smart Watering System for Apartment Plants,wifi-smart-watering-system-for-apartment-plants,L2 money page,guide,buyer,high,9.5,P4,Buyer guide: kits / systems,WiFi Smart Watering System for Apartment Plants,1,1,"enabled, remote, control, tech, wifi, smart","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Wireless Automatic Watering System: Is WiFi Connectivity Necessary?,wireless-automatic-watering-system-is-wifi-connectivity-necessary,L2 money page,guide,buyer,high,9.5,P4,Buyer guide: kits / systems,Wireless Automatic Watering System: Is WiFi Connectivity Necessary?,1,1,"necessary, wireless, automatic, non, options, wifi","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Apartment Balcony Watering System Without Landlord Permission Issues,apartment-balcony-watering-system-without-landlord-permission-issues,L3 support / problem solver,problem-solver,buyer,high,9.0,P4,No tap / renter constraints,Apartment Balcony Watering System Without Landlord Permission Issues,1,1,"friendly, solutions, landlord, renter, permission, issues","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Automatic Watering for 20+ Potted Plants: What Actually Works,automatic-watering-for-20-potted-plants-what-actually-works,L3 support / problem solver,guide,solution-aware,low,9.0,P4,General balcony/container watering,Automatic Watering for 20+ Potted Plants: What Actually Works,1,1,"potted, problems, large, solve, collections, automatic","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
"Automatic Watering in Hot, Dry Climates: What Works",automatic-watering-in-hot-dry-climates-what-works,L3 support / problem solver,guide,solution-aware,low,9.0,P4,General balcony/container watering,"Automatic Watering in Hot, Dry Climates: What Works",1,1,"weather, hot, handle, extreme, dry, conditions","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Balcony Water Pooling: Should I Patch or Replace?,balcony-water-pooling-should-i-patch-or-replace,L3 support / problem solver,problem-solver,problem-aware,low,9.0,P4,Watering frequency and schedules,Balcony Water Pooling: Should I Patch or Replace?,1,1,"replacement, replace, decisions, pooling, repair, patch","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Balcony Watering System That Won't Damage Your Flooring,balcony-watering-system-that-won-t-damage-your-flooring,L3 support / problem solver,guide,buyer,high,9.0,P4,No tap / renter constraints,Balcony Watering System That Won't Damage Your Flooring,1,1,"protecting, property, rental, damage, won, flooring","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can Drip Irrigation Save Water on Apartment Patios?,can-drip-irrigation-save-water-on-apartment-patios,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Can Drip Irrigation Save Water on Apartment Patios?,1,1,"benefits, patios, drip, environmental, save, utility","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can You Leave Balcony Plants Unwatered for a Week?,can-you-leave-balcony-plants-unwatered-for-a-week,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Can You Leave Balcony Plants Unwatered for a Week?,1,1,"gaps, resilience, understanding, week, unwatered, leave","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can You Use Drip Irrigation for Potted Plants?,can-you-use-drip-irrigation-for-potted-plants,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Can You Use Drip Irrigation for Potted Plants?,1,1,"potted, drip, understand, works, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Clogging Issues in Balcony Drip Irrigation: Prevention and Solutions,clogging-issues-in-balcony-drip-irrigation-prevention-and-solutions,L3 support / problem solver,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Clogging Issues in Balcony Drip Irrigation: Prevention and Solutions,1,1,"prevention, maintain, drip, solutions, efficiency, issues","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
"Drip Irrigation for Mixed Container Gardens: Herbs, Vegetables, and Flowers",drip-irrigation-for-mixed-container-gardens-herbs-vegetables-and-flowers,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,"Drip Irrigation for Mixed Container Gardens: Herbs, Vegetables, and Flowers",1,1,"mixed, strategies, flowers, drip, multi, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Drip Irrigation Maintenance: Cleaning and Filter Replacement,drip-irrigation-maintenance-cleaning-and-filter-replacement,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Drip Irrigation Maintenance: Cleaning and Filter Replacement,1,1,"replacement, maintenance, drip, filter, long, term","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Drip Irrigation vs Hand Watering: Which Saves Time?,drip-irrigation-vs-hand-watering-which-saves-time,L2 money page,comparison,buyer,high,9.0,P4,Drip setup and expansion,Drip Irrigation vs Hand Watering: Which Saves Time?,1,1,"methods, which, gardeners, saves, drip, comparing","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How High Can You Mount a Drip Irrigation System?,how-high-can-you-mount-a-drip-irrigation-system,L2 money page,problem-solver,buyer,high,9.0,P4,Drip setup and expansion,How High Can You Mount a Drip Irrigation System?,1,1,"mount, drip, solutions, high, hanging, elevated","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How Long Can Container Plants Survive on Drip Irrigation Alone?,how-long-can-container-plants-survive-on-drip-irrigation-alone,L2 money page,problem-solver,problem-aware,high,9.0,P4,Drip setup and expansion,How Long Can Container Plants Survive on Drip Irrigation Alone?,1,1,"independence, survive, drip, long, alone, reliability","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How Much Slope Does a Balcony Need for Drainage?,how-much-slope-does-a-balcony-need-for-drainage,L2 money page,problem-solver,problem-aware,high,9.0,P4,Drip setup and expansion,How Much Slope Does a Balcony Need for Drainage?,1,1,"homeowners, technical, specifications, drainage, much, slope","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How Often Do You Need to Refill a 15-Gallon Watering Reservoir?,how-often-do-you-need-to-refill-a-15-gallon-watering-reservoir,L3 support / problem solver,technical-guide,problem-aware,high,9.0,P4,Drip setup and expansion,How Often Do You Need to Refill a 15-Gallon Watering Reservoir?,1,1,"reservoir, questions, refill, specific, maintenance, often","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Drill Drainage Holes for Better Watering,how-to-drill-drainage-holes-for-better-watering,L3 support / problem solver,comparison,buyer,high,9.0,P4,Timers and automation,How to Drill Drainage Holes for Better Watering,1,1,"holes, preparation, drainage, drill","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Reduce Evaporation in Balcony Plant Containers,how-to-reduce-evaporation-in-balcony-plant-containers,L3 support / problem solver,problem-solver,problem-aware,medium,9.0,P4,Budget DIY watering,How to Reduce Evaporation in Balcony Plant Containers,1,1,"conservation, reduce, evaporation",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Set Up a Self-Watering System That Actually Works,how-to-set-up-a-self-watering-system-that-actually-works,L3 support / problem solver,problem-solver,buyer,high,9.0,P4,Budget DIY watering,How to Set Up a Self-Watering System That Actually Works,1,1,"practical, self, implementation, set, actually, works",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How to Water Plants in Saucers and Trays,how-to-water-plants-in-saucers-and-trays,L3 support / problem solver,problem-solver,problem-aware,high,9.0,P4,Timers and automation,How to Water Plants in Saucers and Trays,1,1,"trays, tray, methods, saucers, based","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Waterproof an Automatic Watering System on a Balcony,how-to-waterproof-an-automatic-watering-system-on-a-balcony,L3 support / problem solver,problem-solver,buyer,high,9.0,P4,Budget DIY watering,How to Waterproof an Automatic Watering System on a Balcony,1,1,"weather, waterproof, protection, durability, automatic",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Indoor Balcony Drip Irrigation: Managing Water Without Mess,indoor-balcony-drip-irrigation-managing-water-without-mess,L3 support / problem solver,problem-solver,problem-aware,high,9.0,P4,Drip setup and expansion,Indoor Balcony Drip Irrigation: Managing Water Without Mess,1,1,"mess, clean, covered, drip, managing, indoor","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Is Drip Irrigation More Water-Efficient Than Hand Watering?,is-drip-irrigation-more-water-efficient-than-hand-watering,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Is Drip Irrigation More Water-Efficient Than Hand Watering?,1,1,"benefits, efficient, understand, drip, than, efficiency","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Pressure Regulators for Drip Irrigation: Why You Need Them,pressure-regulators-for-drip-irrigation-why-you-need-them,L2 money page,technical-guide,problem-aware,high,9.0,P4,Drip setup and expansion,Pressure Regulators for Drip Irrigation: Why You Need Them,1,1,"pressure, regulators, why, drip, understanding, them","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Quick Fixes for Pooling Water on Your Balcony,quick-fixes-for-pooling-water-on-your-balcony,L3 support / problem solver,problem-solver,problem-aware,low,9.0,P4,Watering frequency and schedules,Quick Fixes for Pooling Water on Your Balcony,1,1,"quick, immediate, fixes, solutions, pooling","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Rain Sensor for Drip Irrigation: Do You Need One?,rain-sensor-for-drip-irrigation-do-you-need-one,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Rain Sensor for Drip Irrigation: Do You Need One?,1,1,"features, one, drip, sensor, rain, smart","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Renter-Friendly Watering Solutions That Don't Require Modifications,renter-friendly-watering-solutions-that-don-t-require-modifications,L3 support / problem solver,guide,solution-aware,medium,9.0,P4,No tap / renter constraints,Renter-Friendly Watering Solutions That Don't Require Modifications,1,1,"don, require, friendly, modifications, solutions, non","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Self-Watering Planters for Balconies Without Tap,self-watering-planters-for-balconies-without-tap,L3 support / problem solver,problem-solver,problem-aware,medium,9.0,P4,No tap / renter constraints,Self-Watering Planters for Balconies Without Tap,1,1,"tap, solution, self, product, planters, based","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Should I Use Tap Water or Filtered Water in My Automatic System?,should-i-use-tap-water-or-filtered-water-in-my-automatic-system,L3 support / problem solver,guide,buyer,high,9.0,P4,No tap / renter constraints,Should I Use Tap Water or Filtered Water in My Automatic System?,1,1,"tap, filtered, automatic, quality, considerations","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Small Balcony Drip Irrigation: Maximizing Limited Space,small-balcony-drip-irrigation-maximizing-limited-space,L2 money page,guide,solution-aware,high,9.0,P4,Drip setup and expansion,Small Balcony Drip Irrigation: Maximizing Limited Space,1,1,"limited, maximizing, small, tiny, drip, solutions","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Watering System Filters for Balcony Drip Irrigation,watering-system-filters-for-balcony-drip-irrigation,L2 money page,guide,buyer,high,9.0,P4,Drip setup and expansion,Watering System Filters for Balcony Drip Irrigation,1,1,"components, irrigation, filters, drip","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
When Should I Call a Professional About Balcony Pooling?,when-should-i-call-a-professional-about-balcony-pooling,L3 support / problem solver,problem-solver,problem-aware,low,9.0,P4,Watering frequency and schedules,When Should I Call a Professional About Balcony Pooling?,1,1,"professional, seek, help, pooling, call, about","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can I Control My Watering System from My Phone?,can-i-control-my-watering-system-from-my-phone,L3 support / problem solver,guide,buyer,high,8.5,P4,No tap / renter constraints,Can I Control My Watering System from My Phone?,1,1,"remote, control, access, phone, automation","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can I Hire Someone to Water My Balcony Plants?,can-i-hire-someone-to-water-my-balcony-plants,L3 support / problem solver,guide,solution-aware,medium,8.5,P4,Vacation / away watering,Can I Hire Someone to Water My Balcony Plants?,1,1,"hire, services, sitting, someone","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can I Water Balcony Plants With Collected Rainwater,can-i-water-balcony-plants-with-collected-rainwater,L3 support / problem solver,guide,solution-aware,medium,8.5,P4,Vacation / away watering,Can I Water Balcony Plants With Collected Rainwater,1,1,"collected, option, sustainable, rainwater","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can One Watering System Handle Different Plant Types?,can-one-watering-system-handle-different-plant-types,L3 support / problem solver,guide,buyer,high,8.5,P4,Budget DIY watering,Can One Watering System Handle Different Plant Types?,1,1,"mixed, versatility, handle, one, requirements, types",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Can You Mix Manual and Automatic Watering?,can-you-mix-manual-and-automatic-watering,L2 money page,guide,solution-aware,high,8.5,P4,Timers and automation,Can You Mix Manual and Automatic Watering?,1,1,"manual, mix, hybrid, automatic, approaches","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How Much Does Professional Plant Watering Service Cost?,how-much-does-professional-plant-watering-service-cost,L2 money page,buyer-guide,buyer,medium,8.5,P4,Budget DIY watering,How Much Does Professional Plant Watering Service Cost?,1,1,"professional, service, much, sitting, pricing",Pricing explainer anchored to realistic small-space setups.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Keep Balcony Plants Watered in Hot Weather,how-to-keep-balcony-plants-watered-in-hot-weather,L3 support / problem solver,problem-solver,problem-aware,medium,8.5,P4,Vacation / away watering,How to Keep Balcony Plants Watered in Hot Weather,1,1,"weather, keep, hot, challenges, seasonal, solutions","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Keep Your Balcony Clean While Gardening,how-to-keep-your-balcony-clean-while-gardening,L3 support / problem solver,problem-solver,problem-aware,medium,8.5,P4,Vacation / away watering,How to Keep Your Balcony Clean While Gardening,1,1,"gardening, keep, clean, mess, managing, spillage","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Set Up Drip Irrigation Without a Garden Tap,how-to-set-up-drip-irrigation-without-a-garden-tap,L3 support / problem solver,problem-solver,problem-aware,low,8.5,P4,Watering frequency and schedules,How to Set Up Drip Irrigation Without a Garden Tap,1,1,"limited, infrastructure, tap, working, drip, set","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Water Outdoor Potted Plants When You Travel,how-to-water-outdoor-potted-plants-when-you-travel,L3 support / problem solver,problem-solver,problem-aware,medium,8.5,P4,No tap / renter constraints,How to Water Outdoor Potted Plants When You Travel,1,1,"potted, care, absences, travel, solutions, during","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Mulch and Black Plastic Trick to Reduce Plant Watering,mulch-and-black-plastic-trick-to-reduce-plant-watering,L2 money page,guide,solution-aware,high,8.5,P4,Timers and automation,Mulch and Black Plastic Trick to Reduce Plant Watering,1,1,"methods, customer, reduce, black, trick, wants","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Plant Watering Apps: Can Technology Help While You're Gone?,plant-watering-apps-can-technology-help-while-you-re-gone,L2 money page,guide,solution-aware,high,8.5,P4,Timers and automation,Plant Watering Apps: Can Technology Help While You're Gone?,1,1,"reminders, customer, technology, smart, wants, gone","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Self-Watering Pot Problems: Why Plants Still Die,self-watering-pot-problems-why-plants-still-die,L3 support / problem solver,problem-solver,problem-aware,low,8.5,P4,General balcony/container watering,Self-Watering Pot Problems: Why Plants Still Die,1,1,"still, problems, pot, troubleshoot, self, die","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
What Happens If My Automatic Watering System Fails?,what-happens-if-my-automatic-watering-system-fails,L3 support / problem solver,guide,buyer,high,8.5,P4,No tap / renter constraints,What Happens If My Automatic Watering System Fails?,1,1,"automatic, happens, plans, contingencies, fails, backup","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What Is a Saucer System for Balcony Plant Watering?,what-is-a-saucer-system-for-balcony-plant-watering,L3 support / problem solver,guide,buyer,high,8.5,P4,No tap / renter constraints,What Is a Saucer System for Balcony Plant Watering?,1,1,"holding, methods, learning, simple, saucer, about","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What's the Cheapest Way to Water a Balcony Garden,what-s-the-cheapest-way-to-water-a-balcony-garden,L3 support / problem solver,guide,solution-aware,medium,8.5,P4,No tap / renter constraints,What's the Cheapest Way to Water a Balcony Garden,1,1,"cheapest, way, options, effective","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Will an Automatic Watering System Work in Cold Weather?,will-an-automatic-watering-system-work-in-cold-weather,L3 support / problem solver,guide,buyer,high,8.5,P4,Budget DIY watering,Will an Automatic Watering System Work in Cold Weather?,1,1,"will, weather, cold, concerns, seasonal, automatic",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Apartment Balcony Plant Care: The Complete Watering Guide,apartment-balcony-plant-care-the-complete-watering-guide,L2 money page,guide,solution-aware,medium,8.0,P4,No tap / renter constraints,Apartment Balcony Plant Care: The Complete Watering Guide,1,1,"resource, beginner, complete, care, comprehensive, guide","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Balcony Watering System for Small Spaces Under 50 Square Feet,balcony-watering-system-for-small-spaces-under-50-square-feet,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Balcony Watering System for Small Spaces Under 50 Square Feet,1,1,"square, small, tiny, solutions, spaces, feet","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Balcony Watering System for Windy Conditions,balcony-watering-system-for-windy-conditions,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Balcony Watering System for Windy Conditions,1,1,"wind, resistant, windy, conditions, solutions","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Cheapest Way to Keep Balcony Plants Watered,cheapest-way-to-keep-balcony-plants-watered,L3 support / problem solver,guide,solution-aware,medium,8.0,P4,No tap / renter constraints,Cheapest Way to Keep Balcony Plants Watered,1,1,"way, keep, cheapest, options, watered, low","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Does My Balcony System Need Drainage Holes?,does-my-balcony-system-need-drainage-holes,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Does My Balcony System Need Drainage Holes?,1,1,"holes, understanding, drainage, requirements","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Easiest Watering System for Balcony Gardeners (No Skills Required),easiest-watering-system-for-balcony-gardeners-no-skills-required,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Easiest Watering System for Balcony Gardeners (No Skills Required),1,1,"gardeners, required, solutions, simple, skills, beginners","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How Long Can Automatic Watering Keep Plants Alive?,how-long-can-automatic-watering-keep-plants-alive,L3 support / problem solver,problem-solver,problem-aware,medium,8.0,P4,Vacation / away watering,How Long Can Automatic Watering Keep Plants Alive?,1,1,"keep, alive, absences, long, automatic, reliability","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How Often Should I Check My Automatic Watering System?,how-often-should-i-check-my-automatic-watering-system,L3 support / problem solver,problem-solver,buyer,high,8.0,P4,No tap / renter constraints,How Often Should I Check My Automatic Watering System?,1,1,"frequency, check, monitoring, maintenance, often, automatic","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Preventing Water Damage to Balconies from Watering,preventing-water-damage-to-balconies-from-watering,L3 support / problem solver,guide,solution-aware,medium,8.0,P4,No tap / renter constraints,Preventing Water Damage to Balconies from Watering,1,1,"deposits, protecting, property, damage, preventing","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Simple Balcony Watering System Under $50,simple-balcony-watering-system-under-50,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Simple Balcony Watering System Under $50,1,1,"simple, options, affordable, entry, under, level","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
South-Facing Balcony Plants: Summer Watering Guide,south-facing-balcony-plants-summer-watering-guide,L2 money page,guide,solution-aware,medium,8.0,P4,No tap / renter constraints,South-Facing Balcony Plants: Summer Watering Guide,1,1,"summer, specific, climate, guide, south, facing","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
String Watering System for Plants: Step-by-Step Guide,string-watering-system-for-plants-step-by-step-guide,L2 money page,guide,buyer,high,8.0,P4,No tap / renter constraints,String Watering System for Plants: Step-by-Step Guide,1,1,"customer, method, guide, instructions, wants, string","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Toilet Tank Auto-Watering System for Indoor Balcony Plants,toilet-tank-auto-watering-system-for-indoor-balcony-plants,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Toilet Tank Auto-Watering System for Indoor Balcony Plants,1,1,"creative, toilet, tank, indoor, auto, hack","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Turning Your Garden Into an Autopilot System: Step-by-Step,turning-your-garden-into-an-autopilot-system-step-by-step,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Turning Your Garden Into an Autopilot System: Step-by-Step,1,1,"complete, guide, into, autopilot, step, automation","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Why Does Water Pool on My Balcony?,why-does-water-pool-on-my-balcony,L3 support / problem solver,problem-solver,problem-aware,medium,8.0,P4,Vacation / away watering,Why Does Water Pool on My Balcony?,1,1,"pool, standing, root, understanding, cause, why","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Will an Automatic Watering System Kill My Plants?,will-an-automatic-watering-system-kill-my-plants,L3 support / problem solver,guide,buyer,high,8.0,P4,No tap / renter constraints,Will an Automatic Watering System Kill My Plants?,1,1,"will, concerns, kill, health, automatic, safety","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best Drip Emitters for Container Plants,best-drip-emitters-for-container-plants,L2 money page,buyer-guide,buyer,high,7.5,P4,Watering frequency and schedules,Best Drip Emitters for Container Plants,1,1,"recommendations, potted, emitters, component, drip","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
How to Check if Your Balcony Has Proper Slope,how-to-check-if-your-balcony-has-proper-slope,L3 support / problem solver,problem-solver,problem-aware,low,7.5,P4,Watering frequency and schedules,How to Check if Your Balcony Has Proper Slope,1,1,"check, drainage, has, diagnosing, proper, issues","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Drain Your Balcony After Heavy Rain,how-to-drain-your-balcony-after-heavy-rain,L3 support / problem solver,problem-solver,problem-aware,low,7.5,P4,Watering frequency and schedules,How to Drain Your Balcony After Heavy Rain,1,1,"drain, storm, after, rain, heavy, management","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
